state,votes,area,total,male_18_20,female_18_20,male_21_29,female_21_29,male_30_39,female_30_39,male_40_49,female_40_49,male_50_59,female_50_59,male_60_69,female_60_69,male_70_79,female_70_79,male_80_89,female_80_89,male_90_above,female_90_above,State Government,Bumi,Chinese,Indian,Others,Pakatan Harapan,Barisan Nasional,Perikatan Nasional,other,Gabungan Rakyat Sabah,Gabungan Parti Sarawak,majority
Johor,1952458,19210,2616575,87465,82454,290285,276060,288446,276881,232225,227058,189786,192377,135016,145427,63415,74232,18459,27581,3997,5411,PH + BN,60.1,32.8,6.6,0.5,14,9,2,1,0,0,Pakatan Harapan
Kedah,1209539,9500,1575805,54262,51745,181654,176317,175126,172103,133958,132986,108075,113551,76629,88530,34746,44998,9809,16476,2133,2707,PN,80.1,12.3,6.3,1.3,1,0,14,0,0,0,Perikatan Nasional
Kelantan,991571,15099,1404763,50191,48238,168750,166210,173270,170604,118410,116113,88312,92095,61947,67528,27909,33275,6536,10921,1851,2603,PN,96.6,2.5,0.3,0.6,0,0,14,0,0,0,Perikatan Nasional
Melaka,515041,1664,657324,21174,20173,73078,68655,72448,71057,55346,55957,45182,48025,34617,39140,16344,21071,4867,7919,905,1366,PH + BN,71.7,22.1,5.6,0.6,3,0,3,0,0,0,Tie
Negeri Sembilan,659420,6686,850865,27774,25452,92277,86876,97665,93379,72364,71730,57132,59678,46978,52686,21417,25907,6234,9971,1481,1864,PH + BN,63.3,22.1,5.6,9,3,5,0,0,0,0,Barisan Nasional
Pahang,872888,36137,1136944,38658,36121,129323,121578,142870,136549,100167,95786,72790,74387,53659,58902,26714,30066,6831,9626,1385,1532,PH + BN,81,14.7,3.7,0.6,2,5,7,0,0,0,Perikatan Nasional
Perak,1482208,21035,2036872,57386,54414,208065,196271,225392,214492,181010,170227,148129,148832,115167,127778,58363,73951,17880,29252,4424,5839,PH + BN,60.9,27.2,11.5,0.4,11,3,10,0,0,0,Pakatan Harapan
Perlis,148277,821,195927,5980,5908,21211,20104,23227,22354,15944,15885,13115,13826,10402,11703,5364,6413,1496,2321,284,390,PN,88.8,7.4,1.8,2,0,0,3,0,0,0,Perikatan Nasional
Pulau Pinang,943971,1048,1226626,34885,33197,118309,112612,122601,118165,106386,109607,94990,102422,72345,84272,36493,47508,10105,16755,2686,3288,PH + BN,44.7,44.9,9.7,0.7,10,0,3,0,0,0,Pakatan Harapan
Sabah,1068532,73631,1689387,65750,61832,208425,197335,203040,196103,140121,138959,109603,106472,79644,75693,30653,33133,11222,15458,7082,8862,GRS,88.7,9.5,0.2,1.6,5,7,1,6,6,0,Barisan Nasional
Sarawak,1178867,124450,1943074,66788,62246,213674,201971,209096,201050,166791,164882,147774,147959,106303,107995,48001,54503,13402,19736,3789,7114,GPS,75.7,23.8,0.2,0.3,6,0,1,1,0,23,Gabungan Parti Sarawak
Selangor,2930278,8104,3677848,141058,132645,433905,411112,394019,383656,314957,328138,262624,277185,179978,199133,75893,89325,18476,27369,3773,4602,PH + BN,60.6,27.3,11.3,0.8,16,0,6,0,0,0,Pakatan Harapan
Terengganu,739816,13035,922856,33579,31543,112168,108098,121087,117368,80019,78891,56085,59375,38097,41323,15674,18426,3336,6139,618,1030,PN,97.6,2.1,0.2,0.1,0,0,8,0,0,0,Perikatan Nasional
Kuala Lumpur,855194,243,1151407,28928,26907,104994,95623,124223,111470,103283,101702,91363,96172,75313,83030,35409,42429,10268,14601,2759,2933,Federal Territories,47.7,41.6,10,0.7,10,1,0,0,0,0,Pakatan Harapan
Labuan,28449,91,44484,1690,1535,5509,4973,5685,5201,3619,3339,2997,2803,2478,2171,922,830,247,281,115,89,Federal Territories,86.2,11.7,1.1,1,0,0,1,0,0,0,Perikatan Nasional
Putrajaya,36643,49,42881,1911,1660,4587,4420,6137,6583,4632,4756,2147,2235,1467,1720,293,274,25,32,1,1,Federal Territories,97.9,0.6,1.2,0.3,0,0,1,0,0,0,Perikatan Nasional
Total,15613152,330803,21173638,717479,676070,2366214,2248215,2384332,2297015,1829232,1816016,1490104,1537394,1090040,1187031,497610,596341,139193,214438,37283,49631,,69.9,22.8,6.6,0.7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
